request,Filing_Jurisdiction:token,Filing_Jurisdiction:id,Filing_Jurisdiction,Filing_Year:token,Filing_Year:id,Filing_Year,Spender_Industry:token,Spender_Industry:id,Spender_Industry,Spender_Sector:token,Spender_Sector:id,Spender_Sector,#_of_Records,Total_$
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2016&lby-f-cci=66",lby-s,WA,WA,lby-y,2016,2016,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,1355,1854610.37
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=MA&lby-y=2015&lby-f-cci=67",lby-s,MA,MA,lby-y,2015,2015,lby-f-cci,67,"Health Services",lby-f-ccg,8,Health,449,1823656.13
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2018&lby-f-cci=68",lby-s,WA,WA,lby-y,2018,2018,lby-f-cci,68,"Pharmaceuticals & Health Products",lby-f-ccg,8,Health,1590,1791123.30
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WI&lby-y=2013&lby-f-cci=66",lby-s,WI,WI,lby-y,2013,2013,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,54,1768805.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=NJ&lby-y=2017&lby-f-cci=65",lby-s,NJ,NJ,lby-y,2017,2017,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,122,1760872.89
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2014&lby-f-cci=68",lby-s,WA,WA,lby-y,2014,2014,lby-f-cci,68,"Pharmaceuticals & Health Products",lby-f-ccg,8,Health,78,1748302.45
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2017&lby-f-cci=99",lby-s,WA,WA,lby-y,2017,2017,lby-f-cci,99,"General Trade Unions",lby-f-ccg,12,Labor,644,1740288.69
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=NJ&lby-y=2015&lby-f-cci=99",lby-s,NJ,NJ,lby-y,2015,2015,lby-f-cci,99,"General Trade Unions",lby-f-ccg,12,Labor,56,1734002.05
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=TX&lby-y=2015&lby-f-cci=100",lby-s,TX,TX,lby-y,2015,2015,lby-f-cci,100,"Public Sector Unions",lby-f-ccg,12,Labor,71,1730000.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2018&lby-f-cci=100",lby-s,WA,WA,lby-y,2018,2018,lby-f-cci,100,"Public Sector Unions",lby-f-ccg,12,Labor,1136,1716779.82
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CT&lby-y=2018&lby-f-cci=100",lby-s,CT,CT,lby-y,2018,2018,lby-f-cci,100,"Public Sector Unions",lby-f-ccg,12,Labor,84,1668020.66
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2017&lby-f-cci=68",lby-s,WA,WA,lby-y,2017,2017,lby-f-cci,68,"Pharmaceuticals & Health Products",lby-f-ccg,8,Health,1519,1651046.22
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=OR&lby-y=2017&lby-f-cci=68",lby-s,OR,OR,lby-y,2017,2017,lby-f-cci,68,"Pharmaceuticals & Health Products",lby-f-ccg,8,Health,100,1637818.85
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WI&lby-y=2015&lby-f-cci=66",lby-s,WI,WI,lby-y,2015,2015,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,42,1625775.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=TX&lby-y=2014&lby-f-cci=100",lby-s,TX,TX,lby-y,2014,2014,lby-f-cci,100,"Public Sector Unions",lby-f-ccg,12,Labor,58,1615000.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WI&lby-y=2017&lby-f-cci=66",lby-s,WI,WI,lby-y,2017,2017,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,14,1610681.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=MA&lby-y=2014&lby-f-cci=67",lby-s,MA,MA,lby-y,2014,2014,lby-f-cci,67,"Health Services",lby-f-ccg,8,Health,43,1605096.48
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=MA&lby-y=2017&lby-f-cci=99",lby-s,MA,MA,lby-y,2017,2017,lby-f-cci,99,"General Trade Unions",lby-f-ccg,12,Labor,159,1598127.90
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=OR&lby-y=2018&lby-f-cci=68",lby-s,OR,OR,lby-y,2018,2018,lby-f-cci,68,"Pharmaceuticals & Health Products",lby-f-ccg,8,Health,92,1595528.34
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=NJ&lby-y=2014&lby-f-cci=68",lby-s,NJ,NJ,lby-y,2014,2014,lby-f-cci,68,"Pharmaceuticals & Health Products",lby-f-ccg,8,Health,144,1588150.36
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=TX&lby-y=2013&lby-f-cci=100",lby-s,TX,TX,lby-y,2013,2013,lby-f-cci,100,"Public Sector Unions",lby-f-ccg,12,Labor,73,1570000.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CT&lby-y=2018&lby-f-cci=99",lby-s,CT,CT,lby-y,2018,2018,lby-f-cci,99,"General Trade Unions",lby-f-ccg,12,Labor,78,1537359.02
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CT&lby-y=2013&lby-f-cci=67",lby-s,CT,CT,lby-y,2013,2013,lby-f-cci,67,"Health Services",lby-f-ccg,8,Health,35,1531785.78
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CT&lby-y=2018&lby-f-cci=65",lby-s,CT,CT,lby-y,2018,2018,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,78,1531402.65
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WI&lby-y=2017&lby-f-cci=65",lby-s,WI,WI,lby-y,2017,2017,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,31,1515438.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=NJ&lby-y=2013&lby-f-cci=68",lby-s,NJ,NJ,lby-y,2013,2013,lby-f-cci,68,"Pharmaceuticals & Health Products",lby-f-ccg,8,Health,140,1512363.38
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=MA&lby-y=2018&lby-f-cci=99",lby-s,MA,MA,lby-y,2018,2018,lby-f-cci,99,"General Trade Unions",lby-f-ccg,12,Labor,130,1508833.77
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2017&lby-f-cci=65",lby-s,WA,WA,lby-y,2017,2017,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,1418,1488973.60
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CT&lby-y=2017&lby-f-cci=67",lby-s,CT,CT,lby-y,2017,2017,lby-f-cci,67,"Health Services",lby-f-ccg,8,Health,126,1474954.48
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=SC&lby-y=2014&lby-f-cci=66",lby-s,SC,SC,lby-y,2014,2014,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,41,1471326.34
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WI&lby-y=2018&lby-f-cci=66",lby-s,WI,WI,lby-y,2018,2018,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,28,1460266.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2014&lby-f-cci=66",lby-s,WA,WA,lby-y,2014,2014,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,52,1460049.94
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WI&lby-y=2014&lby-f-cci=66",lby-s,WI,WI,lby-y,2014,2014,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,53,1454264.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=SC&lby-y=2018&lby-f-cci=66",lby-s,SC,SC,lby-y,2018,2018,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,165,1449295.53
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WI&lby-y=2013&lby-f-cci=65",lby-s,WI,WI,lby-y,2013,2013,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,60,1441362.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2018&lby-f-cci=65",lby-s,WA,WA,lby-y,2018,2018,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,1513,1434774.93
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2015&lby-f-cci=65",lby-s,WA,WA,lby-y,2015,2015,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,88,1430050.71
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2016&lby-f-cci=65",lby-s,WA,WA,lby-y,2016,2016,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,1449,1419491.38
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2015&lby-f-cci=66",lby-s,WA,WA,lby-y,2015,2015,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,68,1411217.35
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2015&lby-f-cci=67",lby-s,WA,WA,lby-y,2015,2015,lby-f-cci,67,"Health Services",lby-f-ccg,8,Health,60,1400215.03
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WI&lby-y=2015&lby-f-cci=65",lby-s,WI,WI,lby-y,2015,2015,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,66,1392487.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=OR&lby-y=2017&lby-f-cci=100",lby-s,OR,OR,lby-y,2017,2017,lby-f-cci,100,"Public Sector Unions",lby-f-ccg,12,Labor,48,1378892.96
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=NJ&lby-y=2018&lby-f-cci=65",lby-s,NJ,NJ,lby-y,2018,2018,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,61,1350372.66
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CT&lby-y=2016&lby-f-cci=67",lby-s,CT,CT,lby-y,2016,2016,lby-f-cci,67,"Health Services",lby-f-ccg,8,Health,57,1347393.42
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WI&lby-y=2016&lby-f-cci=66",lby-s,WI,WI,lby-y,2016,2016,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,42,1332849.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=SC&lby-y=2015&lby-f-cci=66",lby-s,SC,SC,lby-y,2015,2015,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,187,1331274.50
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=SC&lby-y=2017&lby-f-cci=66",lby-s,SC,SC,lby-y,2017,2017,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,165,1330931.04
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CT&lby-y=2015&lby-f-cci=67",lby-s,CT,CT,lby-y,2015,2015,lby-f-cci,67,"Health Services",lby-f-ccg,8,Health,63,1327288.54
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2014&lby-f-cci=99",lby-s,WA,WA,lby-y,2014,2014,lby-f-cci,99,"General Trade Unions",lby-f-ccg,12,Labor,52,1320595.84
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=KY&lby-y=2016&lby-f-cci=66",lby-s,KY,KY,lby-y,2016,2016,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,456,1306883.18
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CT&lby-y=2015&lby-f-cci=100",lby-s,CT,CT,lby-y,2015,2015,lby-f-cci,100,"Public Sector Unions",lby-f-ccg,12,Labor,42,1304953.36
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CT&lby-y=2015&lby-f-cci=68",lby-s,CT,CT,lby-y,2015,2015,lby-f-cci,68,"Pharmaceuticals & Health Products",lby-f-ccg,8,Health,109,1303788.64
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WI&lby-y=2016&lby-f-cci=65",lby-s,WI,WI,lby-y,2016,2016,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,66,1302614.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WI&lby-y=2018&lby-f-cci=65",lby-s,WI,WI,lby-y,2018,2018,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,62,1285151.00
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CT&lby-y=2017&lby-f-cci=68",lby-s,CT,CT,lby-y,2017,2017,lby-f-cci,68,"Pharmaceuticals & Health Products",lby-f-ccg,8,Health,216,1282621.80
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=SC&lby-y=2016&lby-f-cci=66",lby-s,SC,SC,lby-y,2016,2016,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,176,1279816.44
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CT&lby-y=2017&lby-f-cci=99",lby-s,CT,CT,lby-y,2017,2017,lby-f-cci,99,"General Trade Unions",lby-f-ccg,12,Labor,84,1275548.41
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=OR&lby-y=2015&lby-f-cci=68",lby-s,OR,OR,lby-y,2015,2015,lby-f-cci,68,"Pharmaceuticals & Health Products",lby-f-ccg,8,Health,100,1269304.47
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2016&lby-f-cci=99",lby-s,WA,WA,lby-y,2016,2016,lby-f-cci,99,"General Trade Unions",lby-f-ccg,12,Labor,792,1268395.38
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CT&lby-y=2014&lby-f-cci=67",lby-s,CT,CT,lby-y,2014,2014,lby-f-cci,67,"Health Services",lby-f-ccg,8,Health,65,1266068.27
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=OR&lby-y=2016&lby-f-cci=68",lby-s,OR,OR,lby-y,2016,2016,lby-f-cci,68,"Pharmaceuticals & Health Products",lby-f-ccg,8,Health,92,1245072.03
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=OR&lby-y=2017&lby-f-cci=66",lby-s,OR,OR,lby-y,2017,2017,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,32,1212001.63
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2018&lby-f-cci=99",lby-s,WA,WA,lby-y,2018,2018,lby-f-cci,99,"General Trade Unions",lby-f-ccg,12,Labor,407,1193999.89
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=KY&lby-y=2018&lby-f-cci=66",lby-s,KY,KY,lby-y,2018,2018,lby-f-cci,66,"Hospitals & Nursing Homes",lby-f-ccg,8,Health,480,1171325.41
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=WA&lby-y=2014&lby-f-cci=67",lby-s,WA,WA,lby-y,2014,2014,lby-f-cci,67,"Health Services",lby-f-ccg,8,Health,47,1170803.65
"dt=3&lby-s=AK,CA,CO,CT,FL,IA,KY,ME,MA,MI,MT,NE,NJ,NY,OR,SC,TX,VT,WA,WI&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-ccg=8,12&lby-s=CT&lby-y=2013&lby-f-cci=65",lby-s,CT,CT,lby-y,2013,2013,lby-f-cci,65,"Health Professionals",lby-f-ccg,8,Health,28,1169741.28
